Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Islington,270 (93 -- 1022),Unsure,0.98 (0.56 -- 2),-0.0063 (-0.13 -- 0.26),-110 (2.7 -- -5.4)
Kensington and Chelsea,95 (28 -- 268),Unsure,0.85 (0.44 -- 1.4),-0.042 (-0.17 -- 0.1),-17 (7 -- -4)
Kent,1314 (644 -- 2894),Unsure,0.91 (0.64 -- 1.4),-0.026 (-0.1 -- 0.1),-27 (6.9 -- -6.6)
"Kingston upon Hull, City of",69 (27 -- 179),Unsure,0.88 (0.53 -- 1.4),-0.034 (-0.14 -- 0.11),-21 (6.2 -- -5)
Kingston upon Thames,156 (60 -- 361),Unsure,0.95 (0.58 -- 1.4),-0.015 (-0.12 -- 0.11),-46 (6.4 -- -5.6)
Kirklees,99 (52 -- 180),Unsure,0.97 (0.71 -- 1.3),-0.0092 (-0.083 -- 0.075),-76 (9.3 -- -8.4)
Knowsley,147 (81 -- 291),Unsure,1.4 (1.1 -- 1.9),0.11 (0.036 -- 0.22),6.1 (3.1 -- 19)
Lambeth,202 (69 -- 549),Unsure,0.72 (0.39 -- 1.2),-0.08 (-0.19 -- 0.058),-8.7 (12 -- -3.7)
Lancashire,654 (424 -- 1040),Unsure,1.1 (0.92 -- 1.4),0.029 (-0.023 -- 0.1),24 (6.9 -- -31)
Leeds,374 (209 -- 696),Unsure,1.2 (0.9 -- 1.6),0.051 (-0.028 -- 0.16),14 (4.4 -- -25)
Leicester,223 (122 -- 425),Unsure,1.1 (0.84 -- 1.5),0.029 (-0.044 -- 0.13),24 (5.2 -- -16)
Leicestershire,349 (149 -- 866),Unsure,1.1 (0.73 -- 1.8),0.035 (-0.079 -- 0.2),20 (3.4 -- -8.8)
Lewisham,493 (208 -- 1137),Unsure,1 (0.7 -- 1.6),0.014 (-0.088 -- 0.15),50 (4.5 -- -7.9)
Lincolnshire,326 (196 -- 546),Unsure,1 (0.84 -- 1.3),0.0092 (-0.046 -- 0.072),75 (9.7 -- -15)
Lisburn and Castlereagh,5 (0 -- 39),Unsure,0.68 (0.13 -- 1.3),-0.093 (-0.29 -- 0.071),-7.4 (9.8 -- -2.4)
Liverpool,327 (151 -- 785),Unsure,1.2 (0.85 -- 1.9),0.065 (-0.041 -- 0.23),11 (3 -- -17)
Luton,258 (147 -- 418),Likely increasing,1.1 (0.89 -- 1.3),0.032 (-0.032 -- 0.082),22 (8.4 -- -22)
Manchester,226 (141 -- 399),Unsure,1.1 (0.91 -- 1.4),0.032 (-0.025 -- 0.11),22 (6 -- -27)
Medway,484 (300 -- 699),Likely increasing,1 (0.86 -- 1.2),0.01 (-0.04 -- 0.045),69 (15 -- -17)
Merthyr Tydfil,81 (19 -- 329),Unsure,0.85 (0.43 -- 1.6),-0.041 (-0.18 -- 0.15),-17 (4.7 -- -4)
Merton,362 (148 -- 709),Likely increasing,1.1 (0.7 -- 1.4),0.018 (-0.087 -- 0.1),38 (6.7 -- -7.9)
Mid Ulster,16 (1 -- 85),Unsure,0.87 (0.32 -- 1.4),-0.038 (-0.21 -- 0.095),-18 (7.3 -- -3.2)
Mid and East Antrim,23 (0 -- 487),Unsure,0.46 (0.054 -- 1.3),-0.16 (-0.34 -- 0.074),-4.2 (9.4 -- -2.1)
Middlesbrough,105 (33 -- 489),Unsure,1.4 (0.79 -- 3),0.11 (-0.06 -- 0.47),6.6 (1.5 -- -12)
Midlothian,7 (0 -- 23),Unsure,0.79 (0.25 -- 1.1),-0.06 (-0.24 -- 0.022),-12 (32 -- -2.9)
Milton Keynes,198 (71 -- 511),Unsure,0.75 (0.42 -- 1.2),-0.072 (-0.18 -- 0.054),-9.7 (13 -- -3.9)
Monmouthshire,92 (42 -- 209),Likely increasing,1.1 (0.83 -- 1.4),0.03 (-0.047 -- 0.11),23 (6.6 -- -15)
Moray,5 (1 -- 24),Unsure,1.1 (0.8 -- 1.8),0.018 (-0.056 -- 0.21),38 (3.3 -- -12)
Na h-Eileanan Siar,0 (0 -- 1),Unsure,0.85 (0.2 -- 1.3),-0.043 (-0.26 -- 0.07),-16 (10 -- -2.6)
Neath Port Talbot,226 (82 -- 578),Unsure,0.99 (0.65 -- 1.4),-0.0016 (-0.1 -- 0.12),-430 (5.9 -- -6.7)
Newcastle upon Tyne,70 (21 -- 276),Unsure,1.1 (0.6 -- 2.2),0.031 (-0.12 -- 0.3),22 (2.3 -- -5.8)
Newham,940 (527 -- 1620),Likely increasing,1.2 (0.9 -- 1.5),0.041 (-0.029 -- 0.13),17 (5.5 -- -24)
Newport,293 (147 -- 480),Increasing,1.1 (0.88 -- 1.3),0.033 (-0.033 -- 0.066),21 (10 -- -21)
"Newry, Mourne and Down",11 (0 -- 157),Unsure,0.51 (0.093 -- 1.2),-0.15 (-0.31 -- 0.06),-4.7 (12 -- -2.2)
Norfolk,916 (453 -- 1799),Unsure,1.3 (0.94 -- 1.7),0.072 (-0.016 -- 0.17),9.6 (4.1 -- -43)
North Ayrshire,7 (0 -- 33),Unsure,0.62 (0.15 -- 1),-0.11 (-0.29 -- 0.0073),-6.3 (95 -- -2.4)
North East Lincolnshire,21 (8 -- 47),Unsure,0.96 (0.63 -- 1.3),-0.01 (-0.11 -- 0.09),-66 (7.7 -- -6.3)
North Lanarkshire,105 (58 -- 221),Unsure,1.1 (0.89 -- 1.4),0.03 (-0.03 -- 0.12),23 (6 -- -23)
North Lincolnshire,54 (19 -- 262),Unsure,1.1 (0.67 -- 2.6),0.033 (-0.096 -- 0.37),21 (1.9 -- -7.2)
North Somerset,182 (87 -- 404),Unsure,1.3 (0.96 -- 1.9),0.09 (-0.0096 -- 0.23),7.7 (3 -- -72)
North Tyneside,86 (41 -- 186),Unsure,1.2 (0.83 -- 1.6),0.049 (-0.047 -- 0.16),14 (4.2 -- -15)
North Yorkshire,549 (233 -- 1436),Unsure,1.5 (1 -- 2.4),0.13 (0.0012 -- 0.34),5.3 (2 -- 600)
