state,date,strat,type,bottom,top,lower,upper,central_lower,central_upper,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Delaware,2020-10-02,,estimate,,,,,,,0.004,0.004,0.011,-0.015,-0.003,0.002,0.007,0.011,0.02
Arkansas,2020-08-26,,estimate,,,,,,,0.004,0.004,0.011,-0.014,-0.002,0.002,0.007,0.011,0.022
Arkansas,2020-08-25,,estimate,,,,,,,0.004,0.004,0.012,-0.016,-0.003,0.002,0.007,0.011,0.023
Georgia,2020-10-01,,estimate,,,,,,,0.004,0.005,0.011,-0.012,-0.001,0.002,0.006,0.01,0.024
Georgia,2020-09-30,,estimate,,,,,,,0.004,0.006,0.012,-0.011,-0.001,0.002,0.006,0.011,0.027
Georgia,2020-09-29,,estimate,,,,,,,0.004,0.006,0.012,-0.01,-0.001,0.003,0.007,0.012,0.029
Georgia,2020-09-21,,estimate,,,,,,,0.004,0.007,0.014,-0.009,-0.002,0.002,0.007,0.014,0.034
Georgia,2020-09-22,,estimate,,,,,,,0.004,0.008,0.014,-0.009,-0.001,0.002,0.007,0.014,0.036
Georgia,2020-10-17,,estimate,,,,,,,0.005,0.003,0.011,-0.019,-0.002,0.003,0.007,0.01,0.019
Arkansas,2020-09-22,,estimate,,,,,,,0.005,0.004,0.004,-0.003,0.002,0.004,0.006,0.007,0.011
Arkansas,2020-09-23,,estimate,,,,,,,0.005,0.004,0.004,-0.003,0.002,0.004,0.006,0.007,0.011
Arkansas,2020-09-25,,estimate,,,,,,,0.005,0.004,0.005,-0.004,0.002,0.003,0.006,0.007,0.011
Arkansas,2020-09-27,,estimate,,,,,,,0.005,0.004,0.005,-0.004,0.002,0.004,0.006,0.007,0.011
Arkansas,2020-09-26,,estimate,,,,,,,0.005,0.004,0.005,-0.003,0.002,0.004,0.006,0.007,0.011
Arkansas,2020-09-28,,estimate,,,,,,,0.005,0.004,0.005,-0.003,0.002,0.004,0.006,0.007,0.011
