region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Udmurt Republic,99 (59 -- 141),99,99,25,59,83,93,105,115,141,,,,,,,,New confirmed cases by infection date,Unsure
Kostroma Oblast,96 (55 -- 163),96,100,35,55,77,88,103,118,163,,,,,,,,New confirmed cases by infection date,Unsure
Mordovia Republic,96 (70 -- 142),96,99,22,70,84,91,101,111,142,,,,,,,,New confirmed cases by infection date,Unsure
Vladimir Oblast,95 (61 -- 137),95,96,23,61,81,90,100,110,137,,,,,,,,New confirmed cases by infection date,Unsure
Belgorod Oblast,94 (71 -- 121),94,95,15,71,85,90,97,103,121,,,,,,,,New confirmed cases by infection date,Unsure
Khakassia Republic,94 (70 -- 136),94,97,20,70,83,90,99,108,136,,,,,,,,New confirmed cases by infection date,Unsure
Pskov Oblast,89 (50 -- 170),89,97,41,50,71,82,98,113,170,,,,,,,,New confirmed cases by infection date,Unsure
Amur Oblast,88 (49 -- 154),88,93,33,49,71,81,96,111,154,,,,,,,,New confirmed cases by infection date,Unsure
Altai Republic,84 (34 -- 170),84,91,47,34,60,75,94,112,170,,,,,,,,New confirmed cases by infection date,Unsure
Tambov Oblast,84 (60 -- 117),84,85,17,60,74,80,88,95,117,,,,,,,,New confirmed cases by infection date,Unsure
Tula Oblast,83 (62 -- 119),83,86,18,62,73,79,88,95,119,,,,,,,,New confirmed cases by infection date,Unsure
Vologda Oblast,82 (68 -- 108),82,84,13,68,76,79,85,90,108,,,,,,,,New confirmed cases by infection date,Increasing
Dagestan Republic,80 (65 -- 98),80,80,10,65,74,77,82,86,98,,,,,,,,New confirmed cases by infection date,Unsure
Novgorod Oblast,79 (51 -- 104),79,78,15,51,68,75,83,89,104,,,,,,,,New confirmed cases by infection date,Likely increasing
Lipetsk Oblast,76 (49 -- 114),76,78,21,49,64,71,81,90,114,,,,,,,,New confirmed cases by infection date,Likely increasing
Sakhalin Oblast,75 (43 -- 114),75,76,22,43,60,69,81,91,114,,,,,,,,New confirmed cases by infection date,Unsure
Karachay-Cherkess Republic,73 (40 -- 128),73,77,28,40,58,67,79,91,128,,,,,,,,New confirmed cases by infection date,Unsure
Bashkortostan Republic,64 (50 -- 82),64,65,10,50,58,61,66,71,82,,,,,,,,New confirmed cases by infection date,Unsure
Astrakhan Oblast,63 (53 -- 89),63,66,12,53,59,62,66,70,89,,,,,,,,New confirmed cases by infection date,Likely increasing
Magadan Oblast,59 (35 -- 114),59,65,26,35,48,55,65,75,114,,,,,,,,New confirmed cases by infection date,Unsure
Ingushetia Republic,53 (38 -- 75),53,54,12,38,46,50,56,60,75,,,,,,,,New confirmed cases by infection date,Unsure
Kamchatka Krai,53 (29 -- 132),53,64,40,29,41,48,59,72,132,,,,,,,,New confirmed cases by infection date,Unsure
Mari El Republic,53 (35 -- 91),53,56,17,35,45,50,57,65,91,,,,,,,,New confirmed cases by infection date,Unsure
Adygea Republic,52 (31 -- 74),52,52,13,31,43,48,55,60,74,,,,,,,,New confirmed cases by infection date,Unsure
Jewish Autonomous Okrug,45 (28 -- 64),45,46,11,28,39,43,47,52,64,,,,,,,,New confirmed cases by infection date,Likely increasing
North Ossetia - Alania Republic,45 (22 -- 90),45,49,22,22,34,41,49,59,90,,,,,,,,New confirmed cases by infection date,Unsure
Tatarstan Republic,43 (31 -- 66),43,45,11,31,37,41,46,51,66,,,,,,,,New confirmed cases by infection date,Unsure
Tyva Republic,43 (26 -- 104),43,52,38,26,35,39,47,58,104,,,,,,,,New confirmed cases by infection date,Unsure
Sevastopol,41 (18 -- 79),41,43,20,18,30,36,44,52,79,,,,,,,,New confirmed cases by infection date,Likely increasing
Chuvashia Republic,39 (28 -- 60),39,41,10,28,34,37,42,46,60,,,,,,,,New confirmed cases by infection date,Unsure
Nenets Autonomous Okrug,13 (2 -- 130),13,36,97,2,6,10,18,30,130,,,,,,,,New confirmed cases by infection date,Unsure
Chechen Republic,6 (3 -- 11),6,6,3,3,4,5,6,7,11,,,,,,,,New confirmed cases by infection date,Unsure
Chukotka Autonomous Okrug,2 (0 -- 6),2,2,3,0,1,1,2,3,6,,,,,,,,New confirmed cases by infection date,Unsure
Nenets Autonomous Okrug,1.7 (1.1 -- 3.3),1.7,1.9,0.8,1.1,1.4,1.5,1.8,2.1,3.3,,,,,,,,Effective reproduction no.,Unsure
Zabaykalsky Krai,1.5 (1.3 -- 1.8),1.5,1.5,0.2,1.3,1.4,1.5,1.6,1.6,1.8,,,,,,,,Effective reproduction no.,Likely increasing
Smolensk Oblast,1.4 (1.2 -- 1.7),1.4,1.5,0.2,1.2,1.3,1.4,1.5,1.6,1.7,,,,,,,,Effective reproduction no.,Unsure
Irkutsk Oblast,1.3 (1.1 -- 1.4),1.3,1.3,0.1,1.1,1.2,1.3,1.3,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Penza Oblast,1.3 (1.1 -- 1.7),1.3,1.3,0.2,1.1,1.2,1.3,1.4,1.4,1.7,,,,,,,,Effective reproduction no.,Unsure
Ryazan Oblast,1.3 (1.2 -- 1.5),1.3,1.3,0.1,1.2,1.2,1.3,1.3,1.4,1.5,,,,,,,,Effective reproduction no.,Unsure
Altai Krai,1.2 (1.1 -- 1.5),1.2,1.3,0.1,1.1,1.2,1.2,1.3,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Amur Oblast,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1.1,1.1,1.2,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Arkhangelsk Oblast,1.2 (1 -- 1.3),1.2,1.2,0.1,1,1.1,1.2,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Bryansk Oblast,1.2 (0.9 -- 1.3),1.2,1.1,0.1,0.9,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Ivanovo Oblast,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1,1.1,1.2,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Jewish Autonomous Okrug,1.2 (1 -- 1.3),1.2,1.2,0.1,1,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Likely increasing
Kabardino-Balkarian Republic,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Likely increasing
Kamchatka Krai,1.2 (0.9 -- 1.7),1.2,1.2,0.3,0.9,1.1,1.1,1.2,1.3,1.7,,,,,,,,Effective reproduction no.,Unsure
Karelia Republic,1.2 (0.8 -- 1.6),1.2,1.2,0.2,0.8,1,1.1,1.2,1.3,1.6,,,,,,,,Effective reproduction no.,Unsure
Khabarovsk Krai,1.2 (1.1 -- 1.3),1.2,1.2,0.1,1.1,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Khakassia Republic,1.2 (1 -- 1.3),1.2,1.2,0.1,1,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Krasnoyarsk Krai,1.2 (1.1 -- 1.4),1.2,1.2,0.1,1.1,1.2,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Kurgan Oblast,1.2 (0.9 -- 1.4),1.2,1.2,0.2,0.9,1.1,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Kursk Oblast,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Mari El Republic,1.2 (1 -- 1.5),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Mordovia Republic,1.2 (1.1 -- 1.4),1.2,1.2,0.1,1.1,1.2,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Moscow,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1.1,1.1,1.2,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Moscow Oblast,1.2 (0.9 -- 1.3),1.2,1.1,0.1,0.9,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Nizhny Novgorod Oblast,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Novosibirsk Oblast,1.2 (1 -- 1.6),1.2,1.3,0.2,1,1.1,1.2,1.3,1.4,1.6,,,,,,,,Effective reproduction no.,Unsure
Pskov Oblast,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1.1,1.1,1.2,1.3,1.5,,,,,,,,Effective reproduction no.,Unsure
Sakha (Yakutiya) Republic,1.2 (1 -- 1.4),1.2,1.2,0.1,1,1.1,1.1,1.2,1.2,1.4,,,,,,,,Effective reproduction no.,Unsure
Tomsk Oblast,1.2 (1.1 -- 1.4),1.2,1.2,0.1,1.1,1.2,1.2,1.2,1.3,1.4,,,,,,,,Effective reproduction no.,Unsure
Tula Oblast,1.2 (1.1 -- 1.4),1.2,1.2,0.1,1.1,1.1,1.2,1.2,1.2,1.4,,,,,,,,Effective reproduction no.,Unsure
Tver Oblast,1.2 (1 -- 1.3),1.2,1.2,0.1,1,1.1,1.2,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Tyumen Oblast,1.2 (1.1 -- 1.3),1.2,1.2,0.1,1.1,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Adygea Republic,1.1 (0.8 -- 1.2),1.1,1,0.1,0.8,1,1,1.1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Bashkortostan Republic,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Belgorod Oblast,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1,1.1,1.1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Chelyabinsk Oblast,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Chukotka Autonomous Okrug,1.1 (0.8 -- 1.5),1.1,1.1,0.2,0.8,1,1.1,1.1,1.2,1.5,,,,,,,,Effective reproduction no.,Unsure
Chuvashia Republic,1.1 (1 -- 1.3),1.1,1.1,0.1,1,1,1.1,1.1,1.1,1.3,,,,,,,,Effective reproduction no.,Unsure
