"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"deaths","Oman",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1954.239,2020-09-26 21:20:21,1481.898,2020-09-21 05:32:03,822.429,2020-09-20 04:57:51,753.98
"deaths","Pakistan",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2429.026,2020-09-26 21:20:21,1255.6,2020-09-21 05:32:03,819.968,2020-09-20 04:57:51,1011.816
"deaths","Palestinian Territories",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2741.626,2020-09-26 21:20:21,1735.167,2020-09-21 05:32:03,1147.655,2020-09-20 04:57:51,932.967
"deaths","Panama",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2678.399,2020-09-26 21:20:21,2126.721,2020-09-21 05:32:03,861.222,2020-09-20 04:57:51,1179.171
"deaths","Paraguay",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3877.767,2020-09-26 21:20:21,2802.906,2020-09-21 05:32:03,1494.856,2020-09-20 04:57:51,1616.88
"deaths","Peru",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3147.88,2020-09-26 21:20:21,1443.461,2020-09-21 05:32:03,878.872,2020-09-20 04:57:51,759.691
"deaths","Philippines",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3269.172,2020-09-26 21:20:21,1934.289,2020-09-21 05:32:03,1244.421,2020-09-20 04:57:51,1262.72
"deaths","Poland",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1911.532,2020-09-26 21:20:21,1107.93,2020-09-21 05:32:03,1330.702,2020-09-20 04:57:51,1597.206
"deaths","Portugal",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2443.798,2020-09-26 21:20:21,1811.903,2020-09-21 05:32:03,1012.444,2020-09-20 04:57:51,1014.353
"deaths","Puerto Rico",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2702.65,2020-09-26 21:20:21,1593.235,2020-09-21 05:32:03,1416.315,2020-09-20 04:57:51,1059.56
"deaths","Qatar",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1984.714,2020-09-26 21:20:21,748.842,2020-09-21 05:32:03,487.304,2020-09-20 04:57:51,595.515
"deaths","Romania",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2557.373,2020-09-26 21:20:21,1525.472,2020-09-21 05:32:03,1261.864,2020-09-20 04:57:51,1280.987
"deaths","Russia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3089.301,2020-09-26 21:20:21,1565.499,2020-09-21 05:32:03,761.277,2020-09-20 04:57:51,567.594
"deaths","Rwanda",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1903.517,2020-09-26 21:20:21,1174.217,2020-09-21 05:32:03,1022.482,2020-09-20 04:57:51,1208.775
"deaths","Saudi Arabia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1761.166,2020-09-26 21:20:21,892.227,2020-09-21 05:32:03,866.405,2020-09-20 04:57:51,940.076
"deaths","Senegal",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2010.403,2020-09-26 21:20:21,1284.681,2020-09-21 05:32:03,735.349,2020-09-20 04:57:51,702.993
"deaths","Serbia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1810.044,2020-09-26 21:20:21,1257.202,2020-09-21 05:32:03,862.434,2020-09-20 04:57:51,1240.374
"deaths","Sierra Leone",2020-09-21 05:32:03,626.578,2020-09-20 04:57:51,603.85,2020-09-18 16:34:04,616.334,2020-09-17 17:27:56,459.752,NA,NA
"deaths","Slovenia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1451.652,2020-09-26 21:20:21,686.598,2020-09-20 04:57:51,786.163,2020-09-18 16:34:04,752.554
"deaths","South Africa",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2828.523,2020-09-26 21:20:21,1760.966,2020-09-21 05:32:03,1187.314,2020-09-20 04:57:51,1213.862
"deaths","South Korea",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3757.798,2020-09-26 21:20:21,2061.985,2020-09-21 05:32:03,1089.955,2020-09-20 04:57:51,959.22
"deaths","Spain",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2393.085,2020-09-26 21:20:21,1788.227,2020-09-21 05:32:03,1344.907,2020-09-20 04:57:51,1355.831
"deaths","Sudan",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1510.916,2020-09-26 21:20:21,878.738,2020-09-21 05:32:03,448.85,2020-09-20 04:57:51,584.62
"deaths","Suriname",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2043.221,2020-09-26 21:20:21,1192.155,2020-09-21 05:32:03,831.624,2020-09-20 04:57:51,966.198
"deaths","Sweden",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1988.448,2020-09-26 21:20:21,1119.531,2020-09-21 05:32:03,845.978,2020-09-20 04:57:51,646.914
"deaths","Switzerland",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2797.86,2020-09-26 21:20:21,1244.719,2020-09-21 05:32:03,877.77,2020-09-20 04:57:51,889.242
"deaths","Syria",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2567.171,2020-09-26 21:20:21,1297.975,2020-09-21 05:32:03,805.406,2020-09-20 04:57:51,804.942
"deaths","Tajikistan",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1927.481,2020-09-26 21:20:21,929.1,2020-09-21 05:32:03,547.051,2020-09-20 04:57:51,666.465
"deaths","Togo",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2659.46,2020-09-26 21:20:21,1838.612,2020-09-21 05:32:03,969.975,2020-09-20 04:57:51,1240.267
"deaths","Trinidad & Tobago",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1029.272,2020-09-26 21:20:21,344.529,2020-09-21 05:32:03,410.987,2020-09-20 04:57:51,265.819
"deaths","Tunisia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1238.338,2020-09-26 21:20:21,962.618,2020-09-21 05:32:03,467.772,2020-09-20 04:57:51,522.165
"deaths","Turkey",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3406.069,2020-09-26 21:20:21,2660.155,2020-09-21 05:32:03,1468.188,2020-09-20 04:57:51,1214.436
"deaths","Uganda",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1187.252,2020-09-26 21:20:21,753.856,2020-09-21 05:32:03,523.887,2020-09-20 04:57:51,385.793
"deaths","Ukraine",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1471.317,2020-09-26 21:20:21,1151.608,2020-09-21 05:32:03,701.64,2020-09-20 04:57:51,750.976
"deaths","United Arab Emirates",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1501.816,2020-09-26 21:20:21,1398.636,2020-09-21 05:32:03,1196.332,2020-09-20 04:57:51,609.065
