region,date,confirm
Europe,2020-08-14,377
Africa,2020-08-14,400
Americas,2020-08-14,7631
Oceania,2020-08-14,9
Global,2020-08-14,9926
Asia,2020-08-15,1519
Europe,2020-08-15,291
Africa,2020-08-15,422
Americas,2020-08-15,4002
Oceania,2020-08-15,14
Global,2020-08-15,6248
Asia,2020-08-16,1550
Europe,2020-08-16,451
Africa,2020-08-16,235
Americas,2020-08-16,3417
Oceania,2020-08-16,4
Global,2020-08-16,5657
Asia,2020-08-17,1468
Europe,2020-08-17,239
Africa,2020-08-17,292
Americas,2020-08-17,2206
Oceania,2020-08-17,17
Global,2020-08-17,4222
Asia,2020-08-18,1540
Europe,2020-08-18,242
Africa,2020-08-18,240
Americas,2020-08-18,2214
Oceania,2020-08-18,25
Global,2020-08-18,4261
Asia,2020-08-19,1604
Europe,2020-08-19,437
Africa,2020-08-19,387
Americas,2020-08-19,4240
Oceania,2020-08-19,17
Global,2020-08-19,6685
Asia,2020-08-20,1504
Europe,2020-08-20,329
Africa,2020-08-20,372
Americas,2020-08-20,4319
Oceania,2020-08-20,12
Global,2020-08-20,6536
Asia,2020-08-21,1719
Europe,2020-08-21,325
Africa,2020-08-21,339
Americas,2020-08-21,3942
Oceania,2020-08-21,15
Global,2020-08-21,6340
Asia,2020-08-22,1449
Europe,2020-08-22,336
Africa,2020-08-22,349
Americas,2020-08-22,3774
Oceania,2020-08-22,10
Global,2020-08-22,5918
Asia,2020-08-23,1419
Europe,2020-08-23,288
Africa,2020-08-23,267
Americas,2020-08-23,3646
Oceania,2020-08-23,13
Global,2020-08-23,5633
Asia,2020-08-24,1300
Europe,2020-08-24,261
Africa,2020-08-24,140
Americas,2020-08-24,2044
Oceania,2020-08-24,17
Global,2020-08-24,3762
Asia,2020-08-25,1382
Europe,2020-08-25,281
Africa,2020-08-25,273
Americas,2020-08-25,2313
Oceania,2020-08-25,15
Global,2020-08-25,4264
Asia,2020-08-26,1584
Europe,2020-08-26,409
Africa,2020-08-26,288
Americas,2020-08-26,4199
Oceania,2020-08-26,10
Global,2020-08-26,6490
Asia,2020-08-27,1601
Europe,2020-08-27,408
Africa,2020-08-27,321
Americas,2020-08-27,3936
Oceania,2020-08-27,24
Global,2020-08-27,6290
Asia,2020-08-28,1763
Europe,2020-08-28,310
Africa,2020-08-28,253
Americas,2020-08-28,3725
Oceania,2020-08-28,24
Global,2020-08-28,6075
Asia,2020-08-29,1591
Europe,2020-08-29,295
Africa,2020-08-29,231
Americas,2020-08-29,3326
Oceania,2020-08-29,13
Global,2020-08-29,5456
Asia,2020-08-30,1492
Europe,2020-08-30,280
Africa,2020-08-30,332
Americas,2020-08-30,3568
Oceania,2020-08-30,17
Global,2020-08-30,5689
Asia,2020-08-31,1546
Europe,2020-08-31,287
Africa,2020-08-31,161
Americas,2020-08-31,1768
Oceania,2020-08-31,11
Global,2020-08-31,3773
Asia,2020-09-01,1304
Europe,2020-09-01,350
Africa,2020-09-01,225
Americas,2020-09-01,2130
Oceania,2020-09-01,41
Global,2020-09-01,4050
