region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Nagaland,1.1 (0.8 -- 1.8),1.1,1.2,0.3,0.8,1,1,1.2,1.3,1.8,,,,,,Effective reproduction no.,Unsure
Tamil Nadu,1.1 (0.9 -- 1.4),1.1,1.1,0.2,0.9,1,1.1,1.1,1.2,1.4,,,,,,Effective reproduction no.,Unsure
Uttar Pradesh,1.1 (1 -- 1.3),1.1,1.2,0.1,1,1.1,1.1,1.2,1.2,1.3,,,,,,Effective reproduction no.,Unsure
Andaman and Nicobar,1 (0.8 -- 1.3),1,1,0.2,0.8,0.9,1,1,1.1,1.3,,,,,,Effective reproduction no.,Unsure
Kerala,1 (0.8 -- 1.2),1,1,0.1,0.8,0.9,1,1,1.1,1.2,,,,,,Effective reproduction no.,Unsure
Ladakh,1 (0.8 -- 1.1),1,1,0.1,0.8,1,1,1,1,1.1,,,,,,Effective reproduction no.,Unsure
Odisha,1 (0.7 -- 1.4),1,1,0.2,0.7,0.9,0.9,1,1.1,1.4,,,,,,Effective reproduction no.,Unsure
Sikkim,1 (0.5 -- 1.2),1,1,0.2,0.5,0.9,1,1,1.1,1.2,,,,,,Effective reproduction no.,Unsure
Uttarakhand,1 (0.7 -- 1.4),1,1,0.2,0.7,0.9,1,1.1,1.1,1.4,,,,,,Effective reproduction no.,Unsure
West Bengal,1 (1 -- 1.1),1,1,0,1,1,1,1,1.1,1.1,,,,,,Effective reproduction no.,Unsure
Assam,0.9 (0.7 -- 1.5),0.9,1,0.3,0.7,0.8,0.9,1,1.1,1.5,,,,,,Effective reproduction no.,Likely decreasing
Bihar,0.9 (0.8 -- 1),0.9,0.9,0.1,0.8,0.9,0.9,0.9,0.9,1,,,,,,Effective reproduction no.,Decreasing
Goa,0.9 (0.8 -- 1),0.9,0.9,0.1,0.8,0.9,0.9,0.9,0.9,1,,,,,,Effective reproduction no.,Decreasing
Himachal Pradesh,0.9 (0.6 -- 1.3),0.9,0.9,0.2,0.6,0.8,0.9,1,1,1.3,,,,,,Effective reproduction no.,Unsure
Jammu and Kashmir,0.9 (0.5 -- 1.3),0.9,0.9,0.2,0.5,0.7,0.8,0.9,1,1.3,,,,,,Effective reproduction no.,Unsure
Jharkhand,0.9 (0.8 -- 1),0.9,0.9,0.1,0.8,0.9,0.9,0.9,0.9,1,,,,,,Effective reproduction no.,Decreasing
Mizoram,0.9 (0.4 -- 2.1),0.9,1,0.6,0.4,0.7,0.8,1,1.2,2.1,,,,,,Effective reproduction no.,Unsure
Punjab,0.9 (0.7 -- 1.2),0.9,1,0.2,0.7,0.8,0.9,1,1.1,1.2,,,,,,Effective reproduction no.,Unsure
Tripura,0.9 (0.8 -- 1.1),0.9,0.9,0.1,0.8,0.9,0.9,0.9,1,1.1,,,,,,Effective reproduction no.,Decreasing
Andhra Pradesh,0.8 (0.7 -- 0.9),0.8,0.8,0.1,0.7,0.7,0.8,0.8,0.8,0.9,,,,,,Effective reproduction no.,Decreasing
Arunachal Pradesh,0.8 (0.6 -- 1),0.8,0.8,0.1,0.6,0.7,0.8,0.8,0.9,1,,,,,,Effective reproduction no.,Unsure
Chandigarh,0.8 (0.6 -- 1.1),0.8,0.8,0.2,0.6,0.7,0.8,0.9,1,1.1,,,,,,Effective reproduction no.,Unsure
Puducherry,0.8 (0.7 -- 1.1),0.8,0.9,0.1,0.7,0.8,0.8,0.9,0.9,1.1,,,,,,Effective reproduction no.,Likely decreasing
